2018-04-29 00:22:16 INFO  TestClass:38 - Chrome launched success
2018-05-07 16:36:29 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 16:36:29 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:31 INFO  TestClass:72 - Browser closed.................
2018-05-07 16:36:32 INFO  TestClass:74 - --------------------------------------------------------------------------------------------------
2018-05-07 16:36:32 INFO  TestClass:75 - *****************************************Stoped EXecution*****************************************
2018-05-07 16:36:32 INFO  TestClass:76 - --------------------------------------------------------------------------------------------------
2018-05-07 17:07:16 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 17:07:16 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 17:07:16 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 17:09:06 INFO  TestClass:72 - Browser closed.................
2018-05-07 17:09:07 INFO  TestClass:74 - --------------------------------------------------------------------------------------------------
2018-05-07 17:09:07 INFO  TestClass:75 - *****************************************Stoped EXecution*****************************************
2018-05-07 17:09:07 INFO  TestClass:76 - --------------------------------------------------------------------------------------------------
2018-05-07 17:25:57 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 17:25:57 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 17:25:57 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 17:42:36 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 17:42:36 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 17:42:36 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 17:45:01 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 17:45:01 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 17:45:01 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 17:48:09 INFO  TestClass:72 - Browser closed.................
2018-05-07 17:48:10 INFO  TestClass:74 - --------------------------------------------------------------------------------------------------
2018-05-07 17:48:10 INFO  TestClass:75 - *****************************************Stoped EXecution*****************************************
2018-05-07 17:48:10 INFO  TestClass:76 - --------------------------------------------------------------------------------------------------
2018-05-07 18:27:30 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 18:27:30 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 18:27:30 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 18:29:34 INFO  TestClass:72 - Browser closed.................
2018-05-07 18:30:46 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 18:30:46 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 18:30:46 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 18:32:39 INFO  TestClass:72 - Browser closed.................
2018-05-07 18:36:32 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 18:36:32 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 18:36:32 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 18:38:21 INFO  TestClass:72 - Browser closed.................
2018-05-07 18:40:35 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 18:40:35 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 18:40:35 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 18:44:39 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 18:44:39 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 18:44:39 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 18:48:34 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 18:48:34 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 18:48:34 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 18:53:51 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 18:53:51 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 18:53:51 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 19:02:34 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 19:02:34 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 19:02:34 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 19:03:29 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 19:03:29 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 19:03:29 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 19:04:58 INFO  TestClass:73 - Browser closed.................
2018-05-07 19:04:58 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-07 19:04:58 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-07 19:04:58 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-07 19:10:22 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 19:10:22 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 19:10:22 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 19:10:48 INFO  TestClass:73 - Browser closed.................
2018-05-07 19:10:48 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-07 19:10:48 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-07 19:10:48 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-07 19:43:44 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 19:43:44 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 19:43:44 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 19:44:10 INFO  TestClass:73 - Browser closed.................
2018-05-07 19:44:11 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-07 19:44:11 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-07 19:44:11 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-07 19:46:50 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-07 19:46:50 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-07 19:46:50 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-07 19:47:25 INFO  TestClass:73 - Browser closed.................
2018-05-07 19:47:26 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-07 19:47:26 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-07 19:47:26 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 12:31:22 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 12:31:22 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 12:31:22 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 12:31:48 INFO  TestClass:73 - Browser closed.................
2018-05-08 12:37:29 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 12:37:29 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 12:37:29 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 12:38:00 INFO  TestClass:73 - Browser closed.................
2018-05-08 12:38:01 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 12:38:01 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 12:38:01 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 12:39:52 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 12:39:52 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 12:39:52 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 12:40:23 INFO  TestClass:73 - Browser closed.................
2018-05-08 12:48:39 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 12:48:39 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 12:48:39 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 12:48:43 INFO  TestClass:48 - Chrome launched success
2018-05-08 12:48:51 INFO  TestClass:73 - Browser closed.................
